deployment_mode,scenario,metric,statistic,value,run_count
cloud_only,fault_alternate,detection_latency_ms_median,median,3.3516883850097656,5
cloud_only,fault_alternate,detection_latency_ms_median,std,0.02619644141636182,5
cloud_only,fault_alternate,detection_latency_ms_median,p95,3.385591506958008,5
cloud_only,fault_alternate,detection_latency_ms_median,min,3.324747085571289,5
cloud_only,fault_alternate,detection_latency_ms_median,max,3.3882856369018555,5
cloud_only,fault_alternate,detection_latency_ms_min,count,5,5
cloud_only,fault_alternate,detection_latency_ms_min,mean,2.926301956176758,5
cloud_only,fault_alternate,detection_latency_ms_min,median,2.92205810546875,5
cloud_only,fault_alternate,detection_latency_ms_min,std,0.10139048270337399,5
cloud_only,fault_alternate,detection_latency_ms_min,p95,3.048992156982422,5
cloud_only,fault_alternate,detection_latency_ms_min,min,2.8018951416015625,5
cloud_only,fault_alternate,detection_latency_ms_min,max,3.0684471130371094,5
cloud_only,fault_alternate,detection_latency_ms_p95,count,5,5
cloud_only,fault_alternate,detection_latency_ms_p95,mean,3.837356567382812,5
cloud_only,fault_alternate,detection_latency_ms_p95,median,3.8089275360107417,5
cloud_only,fault_alternate,detection_latency_ms_p95,std,0.1293842573766812,5
cloud_only,fault_alternate,detection_latency_ms_p95,p95,4.007067680358885,5
cloud_only,fault_alternate,detection_latency_ms_p95,min,3.7105679512023926,5
cloud_only,fault_alternate,detection_latency_ms_p95,max,4.056453704833983,5
cloud_only,fault_alternate,detection_latency_ms_std,count,5,5
cloud_only,fault_alternate,detection_latency_ms_std,mean,0.5634282312599909,5
cloud_only,fault_alternate,detection_latency_ms_std,median,0.5133872680206963,5
cloud_only,fault_alternate,detection_latency_ms_std,std,0.2825773089231076,5
cloud_only,fault_alternate,detection_latency_ms_std,p95,0.8781769991744257,5
cloud_only,fault_alternate,detection_latency_ms_std,min,0.22670972836850514,5
cloud_only,fault_alternate,detection_latency_ms_std,max,0.8969111390321287,5
cloud_only,fault_alternate,detector_cpu_count,count,5,5
cloud_only,fault_alternate,detector_cpu_count,mean,134.8,5
cloud_only,fault_alternate,detector_cpu_count,median,157.0,5
cloud_only,fault_alternate,detector_cpu_count,std,50.76120565944036,5
cloud_only,fault_alternate,detector_cpu_count,p95,158.0,5
cloud_only,fault_alternate,detector_cpu_count,min,44.0,5
cloud_only,fault_alternate,detector_cpu_count,max,158.0,5
cloud_only,fault_alternate,detector_cpu_max,count,5,5
cloud_only,fault_alternate,detector_cpu_max,mean,18.43,5
cloud_only,fault_alternate,detector_cpu_max,median,12.152,5
